trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.5, 'e': 0.5185893309484582}",30,20,21.56088573245762,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.5159963842937159}",20,0,-88.85237076648316,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
133,False,"{'a': 0.5, 'e': 0.5134164023722473}",30,0,-20.327672891894267,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.510849320360386}",35,16,-21.25122108722198,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.5082950737585841}",20,8,10.67831062564603,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.5057535983897912}",20,0,-22.708582624926734,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.5032248303978422}",25,0,-183.90958404294136,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
138,False,"{'a': 0.5, 'e': 0.500708706245853}",20,0,-48.27927181833948,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.4982051627146237}",30,15,-25.32187362068058,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.49571413690105054}",20,0,-18.009070901409952,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.4932355662165453}",20,6,5.028113743547122,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.4907693883854626}",25,0,-51.77787512789016,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.4883155414435353}",25,8,2.247540792847661,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.4858739637363176}",30,17,24.552006763829894,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.483444593917636}",20,0,13.31392467385508,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.4810273709480478}",20,12,0.41778762167390093,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.47862223409330756}",25,14,-38.33570409028968,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.47622912292284103}",20,7,-6.309223470967391,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.4738479773082268}",35,0,-174.68284938585057,"{0: 21, 1: 7, 2: 4, 3: 0, 4: 3}",0
150,False,"{'a': 0.5, 'e': 0.47147873742168567}",25,11,-69.35104318663527,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
